( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,1.3205419032612622,2.07645668431951,2.1835470705009654,2.7883896620405295,1.4608075405108962,1.6483692634152622,5.120890137643336,0.600114028432803,2.39982063039585,1.103160322121932,1.740726341923391,5.49584766026316,2.061538306096057,0.5521087306393387,3.3737222816984294,4.558391997622822,-233.71533025284137,7.345110098232992,6.2572236741796505,11.281626167017999,4.174267688478726,7.3413154058229315,2.7148153150717222,1.6071930983164453,-22.964340108619584,2.2541285338083457,1.358129462826579,1.42088151252689,3.467572054223648,2.690625402243339,2.121170973718842,2.0827819706272344,0.8339728675466433,1.4307395573344732,0.4265541209369044,0.49384738453789506,12.34262213276184,-7.983649862284589,21.658239281986507,0.796889826405678,7.491053462063463,8.43652058254332,5.141786102067468,1.96589186292625
COBERTURA DE PROVISIONES PARA CARTERA IMPRODUCTIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBERTURA DE LA CARTERA DE CREDITO PRODUCTIVO,1.1114561795911255,1.3775521968365552,1,0,1.1100839284436248,0,0,0,1.4082389015870973,0,0,1.3973509933774833,1348.99,142.40235997012698,1.0480342930467037,0,3.3227324971077947,0,0,0,0.858976686445663,0,0.8417342439536343,0,1.0917348485775407,12.12260140704269,0,0.9533669337663334,0,0.7880134292821722,0,0.771188864566033,0.00018813568032739,1.2,0,0.5738442995338359,2.5107450367606696,1.398984098713874,0,1.1154219798705631,0,0.9222640446933996,0,0.7346025751218943
COBERTURA DE LA CARTERA DE CREDITO CONSUMO,1.1010377129904239,1.1330633014699203,1.1080684101690597,1.1723747967430764,1.0224476223800865,1.3649721695775114,1.2868502943854705,1.1502387616220733,1.1649452083666028,0.5825807922757001,0.863490832131772,1.2213867485826926,1.1654475319070634,0.2623793646122724,1.135429883639594,1.4389717281864143,1.649998006863503,1.3592941030732986,1.5475976710900288,2.2062418340337615,1.1388295891553462,1.2758692945913084,0.9298114326553002,1.2424695441340874,2.213209713591822,1.033651372037352,0.7959300958626292,0.848124204017875,1.5404402687929994,1.0679184622659783,1.0037212561461046,1.0234914728352955,0.35133682778025943,0.903350852911052,1.0913518740548438,0.3445053181814871,1.574202529479865,1.9646744008778065,1.4507286277558888,1.0949241159187675,1.265978986594424,1.58802642986751,1.4069327444121742,1.066952549192947
COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,0.6318108193257053,0.8993093193935932,1.0512566560767436,1276.49,0,563.8075,0.717814078036026,1.0136732659061165,1.1350917249144927,0.37102512116945696,0.5532067932534331,0.4878776747932394,0.9813564307250285,0.15171787577283605,1.071440145461696,2869.0488888888885,1.6223388496347713,1.5818393981155625,3586.2287499999998,0,1.0783758067991807,1.0050039673206628,0.9780156194911084,0.7592806603773585,1.0036471171631025,0.9770052704690433,0,0.6493491378913357,71.28,2.4702630336207467,0.8882218734403579,1.6106093264779935,0.33879756536833194,0.4051816362348101,0,0.2779893326415581,1.2116294771428677,1.5862370439562181,0.7364491261817736,0.5980985816100588,1.9048440318635946,2047.62,0,0.9362590028799695
COBERTURA DE LA CARTERA DE MICROCREDITO,1.007935287583888,1.0338805337642936,1.032546670157365,0.9347081581358209,1.002166596454709,1.0621220560468587,1.2445969730817676,1.0604041390535992,1.0324491277083856,0.5058008295084164,0.990626086404468,0.9926261741325076,0.8767038242222804,0.31084807812029286,1.1909149739561942,1.168652966172367,1.364274853820842,1.2112126821198173,1.5485414233525092,0,1.0729475068256686,1.084725329943965,1.0132699567162842,1.0060298793452285,1.4393912690390038,0.932154251673443,0.6649431167631809,0.7579876239704149,1.2531648764689893,1.1518156972654174,0.9664650637545721,1.0482938705221148,0.254836004156865,0.8904776706086456,1.335037907181078,0.41735844057389004,1.476574556398609,4.691871294018175,1.2480748544620461,0.8819920849255254,1.526047213968864,0.9419613005298941,1.211626055788131,1.0376059425150184
COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12760751411769175,0,0,0,0,0,0,0,0.14102546402784702
COBERTURA DE LA CARTERA DE CREDITO EDUCATIVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.56
COBERTURA DE LA CARTERA PROBLEMÁTICA,1.0234241462410631,1.0769815837662806,1.080868658561305,0.9639119543957102,1.0195088732456563,1.098174084924432,1.2490624233462069,1.1120277295604426,1.0965075068996917,0.5174075847524284,0.9659678367824529,1.1089563087598737,1.0517487528781457,0.2903733119189997,1.1413003035734164,1.3611939010091318,1.470407310079906,1.2870021179112405,1.5557181633568073,3.094493158546799,1.1159548594384388,1.161945743090829,0.9942598550293854,1.0375644950430027,1.9722522582181743,1.0283847324649549,0.6780229169998947,0.7968931339080659,1.3105470119548541,1.1424282556975702,0.9710378410980053,1.0569472651569727,0.2906072060677721,0.8931164175184918,1.2676564568513158,0.40090235992794987,1.4903710764391447,3.048011637292786,1.3198676714530593,0.9932222668950494,1.393942793064027,1.346787053071076,1.2386175634317773,1.0429406513771984
EFICIENCIA MICROECONOMICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO ,0.05594490463171611,0.04313707063972855,0.02998049351154321,0.03826366809245624,0.0431488612524989,0.02725115783870848,0.03217997860569791,0.03058096665427083,0.02815392240530612,0.06089042766180894,0.03938622911733861,0.04984447387970488,0.05152677035761666,0.02910232756700434,0.03351199733365871,0.04458457264680787,0.02571838594881068,0.03656153371437577,0.03753339052689939,0.03297609876917854,0.02940560971108667,0.04213119230020949,0.03576827802433993,0.04496984225781235,0.03476455406192942,0.03061395424311589,0.03760493473486053,0.05292659735865027,0.06579720947359013,0.03723511537089154,0.04667164874795072,0.03332495327625641,0.03656463184908807,0.0595002424384747,0.04812664090695037,0.02797233704371854,0.03200168346413345,0.03120388101099959,0.02967274437865355,0.03900879554199896,0.03298691253886735,0.03454257457348516,0.04948267962961543,0.03359936376041545
